Name	Age	Gender	Social Status	Notable Traits	Role	Occupation	First Appearance	Personality Traits	Notable Actions	Relationships	visual_characteristics	clothing_colors	AI_agent_name	book_name	entry_date
Rinaldi	25-30	Male	Middle-Class	Charming, witty	Supporting Character	Surgeon	Chapter 2	Playful, loyal, flirtatious	Bonds with Frederic, teases about Catherine	Friends with Frederic Henry	Medium build, dark hair, lively demeanor	Uniform, casual military attire	ChatGPT	A Farewell to Arms	2024-12-18
The Priest	30s	Male	Middle-Class	Kind, thoughtful	Supporting Character	Chaplain	Chapter 2	Spiritual, compassionate, wise	Provides advice, comforts Frederic	Friends with Frederic Henry, respected by others	Thin, solemn expression	Plain cassock, dark colors	ChatGPT	A Farewell to Arms	2024-12-18
Miss Gage	20s	Female	Middle-Class	Supportive, cheerful	Minor Character	Nurse	Chapter 14	Friendly, dependable, empathetic	Cares for Frederic during recovery	Colleague of Catherine Barkley	Average build, approachable demeanor	Nurse's uniform, light tones	ChatGPT	A Farewell to Arms	2024-12-18
Miss Van Campen	50s	Female	Middle-Class	Stern, strict	Minor Character	Head Nurse	Chapter 14	Disapproving, disciplined, inflexible	Argues with Frederic about his behavior	Authority figure at hospital	Thin, severe expression	Practical uniform, neutral colors	ChatGPT	A Farewell to Arms	2024-12-18
Dr. Valentini	40s	Male	Middle-Class	Confident, skilled	Minor Character	Surgeon	Chapter 19	Optimistic, energetic, decisive	Operates on Frederic's leg	Colleague in military medical service	Sturdy build, jovial expression	Uniform, crisp white coat	ChatGPT	A Farewell to Arms	2024-12-18
Aymo	30s	Male	Working-Class	Kind, selfless	Minor Character	Ambulance Driver	Chapter 28	Generous, brave, practical	Helps refugees, dies during retreat	Friends with Frederic, part of ambulance team	Tall, rugged appearance	Military uniform, earthy tones	ChatGPT	A Farewell to Arms	2024-12-18
Bonello	30s	Male	Working-Class	Pragmatic, self-serving	Minor Character	Ambulance Driver	Chapter 28	Realistic, opportunistic, resourceful	Deserts the group to save himself	Colleague of Frederic Henry	Stocky, dark hair	Military uniform, muted tones	ChatGPT	A Farewell to Arms	2024-12-18
Passini	30s	Male	Working-Class	Pessimistic, reflective	Minor Character	Ambulance Driver	Chapter 9	Resigned, philosophical, fatalistic	Discusses futility of war, dies in bombing	Friends with Frederic Henry	Lean build, weary expression	Military uniform, dark tones	ChatGPT	A Farewell to Arms	2024-12-18
Ettore Moretti	30s	Male	Working-Class (Rising Star)	Brash, boastful	Minor Character	Soldier	Chapter 22	Proud, ambitious, patriotic	Boasts about medals, contrasts with Frederic	Acquaintance of Frederic	Tall, muscular, confident stance	Uniform adorned with medals	ChatGPT	A Farewell to Arms	2024-12-18
Gino	20s	Male	Working-Class	Patriotic, earnest	Minor Character	Soldier	Chapter 27	Idealistic, determined, loyal	Discusses love for Italy with Frederic	Fellow soldier	Tanned complexion, youthful appearance	Military uniform, earthy tones	ChatGPT	A Farewell to Arms	2024-12-18
Ferguson (Fergie)	20s	Female	Middle-Class	Practical, protective	Minor Character	Nurse	Chapter 14	Sarcastic, caring, skeptical	Warns Catherine about Frederic, assists patients	Colleague of Catherine Barkley	Average height, dark hair	Nurse's uniform, light tones	ChatGPT	A Farewell to Arms	2024-12-18
Harriet Vane	30s	Female	Middle-Class	Intelligent, independent	Protagonist	Detective/Writer	Beginning of the novel	Clever, introspective, determined	Investigates the mystery, navigates academic life	Romantic interest: Lord Peter Wimsey; Friend of the dons	Medium height, dark hair, composed demeanor	Practical academic attire, neutral tones	ChatGPT	Gaudy Night	2024-12-19
Lord Peter Wimsey	40s	Male	Upper-Class	Charming, brilliant	Main Character	Detective	Chapter 10	Chivalrous, witty, insightful	Supports Harriet’s investigation, solves key mystery	Romantic interest: Harriet Vane; Brother: Duke of Denver	Tall, slim, aristocratic bearing	Stylish suits, dark colors	ChatGPT	Gaudy Night	2024-12-19
Miss Hillyard	40s	Female	Middle-Class	Passionate, outspoken	Supporting Character	Modern Languages Tutor	Chapter 3	Temperamental, loyal, ambitious	Clashes with Harriet, expresses feminist ideals	Colleague of Harriet and other dons	Angular features, intense expression	Academic robes, earthy tones	ChatGPT	Gaudy Night	2024-12-19
Miss de Vine	50s	Female	Middle-Class	Calm, analytical	Supporting Character	Historian	Chapter 3	Scholarly, reserved, insightful	Provides critical evidence to Harriet	Colleague of Harriet and other dons	Thin, tidy appearance, glasses	Plain academic robes, muted colors	ChatGPT	Gaudy Night	2024-12-19
Miss Lydgate	60s	Female	Middle-Class	Gentle, distracted	Supporting Character	English Literature Tutor	Chapter 3	Kind, absent-minded, scholarly	Becomes a target of vandalism	Colleague of Harriet and other dons	Elderly, silver hair, gentle demeanor	Robes with soft colors	ChatGPT	Gaudy Night	2024-12-19
Miss Martin	50s	Female	Middle-Class	Practical, fair	Supporting Character	Bursar	Chapter 3	Efficient, no-nonsense, thoughtful	Manages college finances, supports Harriet	Colleague of Harriet and other dons	Sturdy build, authoritative presence	Simple clothing, neutral tones	ChatGPT	Gaudy Night	2024-12-19
Miss Barton	40s	Female	Middle-Class	Spirited, loyal	Supporting Character	Mathematics Tutor	Chapter 3	Pragmatic, outspoken, dedicated	Supports Harriet’s investigation	Colleague of Harriet and other dons	Medium height, sharp features	Plain attire, subtle colors	ChatGPT	Gaudy Night	2024-12-19
Miss Edwards	20s	Female	Middle-Class	Youthful, earnest	Minor Character	Student	Chapter 3	Inquisitive, eager, respectful	Assists Harriet informally	Student of Shrewsbury College	Slender, bright eyes, youthful demeanor	Modern dresses, light colors	ChatGPT	Gaudy Night	2024-12-19
Padgett	50s	Male	Working-Class	Loyal, resourceful	Minor Character	College Porter	Chapter 2	Observant, discreet, dutiful	Protects the college, helps Harriet	Employee of Shrewsbury College	Stocky, grizzled appearance	Simple uniform, dark colors	ChatGPT	Gaudy Night	2024-12-19
Miss Burrows	40s	Female	Middle-Class	Shy, hardworking	Minor Character	Librarian	Chapter 3	Reserved, meticulous, diligent	Reports suspicious incidents to Harriet	Colleague of Harriet and other dons	Average build, glasses	Modest librarian attire, neutral tones	ChatGPT	Gaudy Night	2024-12-19
Miss Hudson	30s	Female	Middle-Class	Unassuming, quiet	Minor Character	Secretary	Chapter 5	Organized, reserved, efficient	Manages college records, aids investigation	Colleague of Harriet	Average height, neat appearance	Plain office wear, muted tones	ChatGPT	Gaudy Night	2024-12-19
Dean of Shrewsbury	60s	Female	Middle-Class	Dignified, wise	Supporting Character	College Dean	Chapter 3	Authoritative, supportive, balanced	Leads the college through the crisis	Colleague of Harriet and other dons	Tall, poised, dignified robes	Formal academic robes, dark colors	ChatGPT	Gaudy Night	2024-12-19
Dwight Towers	40	Male	Married (Widowed by implication)	Loyal, Dutiful	Main Protagonist	Commander, USS Scorpion	Chapter 1	Dutiful, Calm, Reflective	Leads missions, remains faithful to his deceased family	Develops a bond with Moira Davidson	Tall, military posture	Naval uniform, dark colors	ChatGPT	On the Beach	2024-12-19
Moira Davidson	27	Female	Single	Heavy drinker, hopeful but melancholic	Deuteragonist	Civilian	Chapter 1	Charming, Resilient, Vulnerable	Supports Dwight emotionally, chooses dignity in death	Distant relative of John Osborne	Slender, fair-haired	Casual dresses, earthy tones	ChatGPT	On the Beach	2024-12-19
Peter Holmes	30	Male	Married with a child	Responsible, Caring	Supporting Character	Lieutenant, Australian Navy	Chapter 1	Family-oriented, Anxious	Plans family’s end-of-life, accompanies USS Scorpion	Mary Holmes (Wife), Jennifer Holmes (Daughter)	Average build, clean-cut	Military uniform, light casual wear	ChatGPT	On the Beach	2024-12-19
Mary Holmes	28	Female	Married with a child	Denial, Loving	Supporting Character	Homemaker	Chapter 1	Nurturing, Delusional, Protective	Struggles with reality, clings to hope	Married to Peter Holmes, Mother to Jennifer	Delicate, pale features	Simple house dresses, floral patterns	ChatGPT	On the Beach	2024-12-19
John Osborne	35	Male	Single	Pragmatic, Passionate about cars	Supporting Character	Scientist	Chapter 2	Logical, Focused, Adventurous	Restores and races a Ferrari, takes his own life	Distant cousin of Moira Davidson	Tall, lanky	Practical clothing, racing attire	ChatGPT	On the Beach	2024-12-19
Jennifer Holmes	1	Female	Child	Innocent, Vulnerable	Minor Character	Infant	Chapter 1	Innocent, Helpless	Represents future cut short	Daughter of Peter and Mary Holmes	Baby features	Infant attire	ChatGPT	On the Beach	2024-12-19
Unnamed USS Scorpion Crew	Varied	Male	Military rank, disciplined	Professional, Loyal	Minor Characters	Crew of USS Scorpion	Chapter 1	Disciplined, Brave, Stoic	Support missions, face impending death	Colleagues of Dwight Towers	Military uniforms	Standard naval uniforms	ChatGPT	On the Beach	2024-12-19
Edmonds Crewman	30	Male	Single	Nostalgic, Sentimental	Minor Character	Sailor	Chapter 4	Yearning, Resolute	Leaves USS Scorpion to return to his hometown	None identified	Average build, casual appearance	Standard sailor attire	ChatGPT	On the Beach	2024-12-19
Screwtape	500+ (demon age)	Male	High-ranking demon	Intelligent, manipulative, sarcastic	Mentor	Senior Demon	Letter I	Cunning, calculated, cynical	Provides guidance to Wormwood, turns into a centipede	Uncle of Wormwood	Tall, gaunt, with sharp, angular features	Dark red robes	ChatGPT	The Screwtape Letters	2024-12-19
Wormwood	50+ (young demon)	Male	Low-ranking demon	Ambitious, inexperienced, reckless	Protégé	Junior Tempter	Letter I	Impulsive, anxious, envious	Fails to secure the Patient’s soul	Nephew of Screwtape	Short, hunched, with glowing eyes	Black and brown rags	ChatGPT	The Screwtape Letters	2024-12-19
The Patient	25–30	Male	Middle class	Thoughtful, conflicted	Target	Civilian (potential soldier)	Letter I	Hopeful, introspective, adaptable	Converts to Christianity, falls in love with a Christian woman	Has a romantic relationship with a Christian girl	Average build, clean-shaven, with a thoughtful expression	Simple, neutral-toned civilian clothing	ChatGPT	The Screwtape Letters	2024-12-19
Christian Girl	20–25	Female	Middle class	Devout, virtuous	Supporting character	Unknown	Letter XXII	Kind, moral, inspiring	Influences the Patient’s spiritual growth	Engaged or in a relationship with the Patient	Graceful, with a radiant and warm demeanor	Light-colored dresses, often white or pastel	ChatGPT	The Screwtape Letters	2024-12-19
Our Father Below (Satan)	Ageless	Male	King of Hell	Powerful, feared, malevolent	Antagonist	Ruler of Hell	Referred to in Letter I	Authoritative, vengeful, manipulative	Demands loyalty and results from demons	"Referenced as ""Father"" by all demons"	Massive, with a fiery aura and intimidating presence	Dark, glowing crimson and black	ChatGPT	The Screwtape Letters	2024-12-19
The Enemy (God)	Ageless	Male	Divine being	Loving, forgiving, omnipotent	Protagonist	Creator and savior	Referred to in Letter I	Benevolent, wise, merciful	"Desires to save humanity as ""sons"""		Blinding light, no distinct physical form	Pure white, radiating light	ChatGPT	The Screwtape Letters	2024-12-19
Slumtrimpet	200+ (demon age)	Female	Demon	Clever, resourceful	Supporting character	Demon tempter	Referred to in Letter XXII	Strategic, collaborative	Attempts to corrupt the Christian girl	Colleague of Screwtape and Wormwood	Slender, with clawed hands and a sly grin	Deep green, tattered cloak	ChatGPT	The Screwtape Letters	2024-12-19
Glubose	300+ (demon age)	Male	Demon	Cunning, manipulative	Supporting character	Demon tempter	Referred to in Letter XVIII	Deceptive, subtle, persuasive	Tempts the Patient’s mother	Colleague of Screwtape and Wormwood	Stocky, with a grotesque face and bulging eyes	Dirty brown and gray robes	ChatGPT	The Screwtape Letters	2024-12-19
The Patient's Mother	50–60	Female	Middle class	Skeptical, critical	Supporting character	Housewife	Referred to in Letter III	Critical, traditional, cautious	Struggles with faith, influenced by Glubose	Mother of the Patient	Average height, with graying hair and stern features	Dark, modest dresses	ChatGPT	The Screwtape Letters	2024-12-19
Toadpipe	Unknown (demon age)	Unknown	Demon	Loyal, grotesque	Assistant	Scribe to Screwtape	Referred to in Letter XXII	Subservient, grotesque, efficient	Records Screwtape's letters	Servant of Screwtape	Small, hunched, with amphibian-like features	Mossy green and brown	ChatGPT	The Screwtape Letters	2024-12-19
Joe	Approx. 10	Male	Child	Curious, brave	Main Character		Chapter 1	Inquisitive, adventurous	Discovers the Faraway Tree, helps recover papers	Siblings: Beth, Frannie	Human child features	Everyday clothing	ChatGPT	The Enchanted Wood	2024-12-19
Beth	Approx. 9	Female	Child	Caring, thoughtful	Main Character		Chapter 1	Sensible, nurturing	Encourages caution, celebrates her birthday	Siblings: Joe, Frannie	Human child features	Everyday clothing	ChatGPT	The Enchanted Wood	2024-12-19
Frannie	Approx. 7	Female	Child	Imaginative, playful	Main Character		Chapter 1	Cheerful, curious	Joins the adventures, gets stuck in magical lands	Siblings: Joe, Beth	Human child features	Everyday clothing	ChatGPT	The Enchanted Wood	2024-12-19
Moon-Face	Unknown	Male	Magical Creature	Jolly, helpful	Supporting Character	Treetop resident	Chapter 3	Cheerful, loyal	Hosts children, aids in escapes	Friends: Silky, children	Round face, magical being attire	Colorful outfits	ChatGPT	The Enchanted Wood	2024-12-19
Silky	Unknown	Female	Magical Creature	Kind, gentle	Supporting Character	Treetop resident	Chapter 3	Friendly, resourceful	Finds solutions, bakes pop biscuits	Friends: Moon-Face, children	Delicate fairy features	Soft, flowing colors	ChatGPT	The Enchanted Wood	2024-12-19
The Saucepan Man	Unknown	Male	Magical Creature	Eccentric, forgetful	Supporting Character	Collector and tinkerer	Chapter 4	Quirky, clumsy	Uses saucepans to aid adventures	Friends: Moon-Face, children	Laden with saucepans	Metallic tones	ChatGPT	The Enchanted Wood	2024-12-19
Dame Washalot	Unknown	Female	Magical Creature	Diligent, irritable	Minor Character	Treetop resident	Chapter 4	Serious, hardworking	Throws water down the tree	Neutral towards others	Old-fashioned attire	Practical colors	ChatGPT	The Enchanted Wood	2024-12-19
Mr. Watzisname	Unknown	Male	Magical Creature	Forgetful, sleepy	Minor Character	Treetop resident	Chapter 4	Absent-minded, calm	Forgets his own name	Neutral towards others	Scruffy magical being	Earthy tones	ChatGPT	The Enchanted Wood	2024-12-19
The Angry Pixie	Unknown	Male	Magical Creature	Grumpy, short-tempered	Minor Character	Treetop resident	Chapter 4	Temperamental, fiery	Shouts at trespassers	Neutral towards others	Short, pixie-like features	Bright colors	ChatGPT	The Enchanted Wood	2024-12-19
Dame Slap (Snap in edits)	Unknown	Female	Magical Creature	Strict, aggressive	Antagonist	Teacher	Chapter 8	Dominating, harsh	Imprisons and disciplines children	Adversarial role	Severe appearance	Dark tones	ChatGPT	The Enchanted Wood	2024-12-19
Red Goblins	Various	Male/Female	Magical Creatures	Mischievous, hostile	Antagonists	Invaders	Chapter 10	Devious, cunning	Try to conquer Faraway Tree	Oppose the children	Small, goblin-like	Red clothing	ChatGPT	The Enchanted Wood	2024-12-19
Brownies	Various	Male/Female	Magical Creatures	Friendly, cheerful	Supporting Characters	Helpers	Chapter 11	Festive, playful	Organize birthday celebration	Assist Faraway Tree residents	Tiny, magical being	Festive colors	ChatGPT	The Enchanted Wood	2024-12-19
Sam Spade	35	Male	Middle Class	Shrewd, confident, morally ambiguous	Protagonist	Private Detective	Office with Miles Archer	Sharp, cynical, witty, decisive	Solves the mystery, turns in Brigid, survives numerous threats	Partner of Miles Archer, brief affair with Iva Archer	Tall, lean, sharp features, hard eyes	Suit (gray or tan), fedora, trench coat (beige)	ChatGPT	The Maltese Falcon	2024-12-20
Brigid O'Shaughnessy	30	Female	Middle Class	Deceptive, manipulative, beautiful	Femme Fatale	Adventuress	"Office as ""Miss Wonderley"""	Charming, cunning, desperate	Deceives Spade, kills Archer, lies about the falcon	Romantic interest of Spade, deceives Cairo and Gutman	Slender, dark hair, elegant features	Dress (dark blue or black), accessories in subtle tones	ChatGPT	The Maltese Falcon	2024-12-20
Miles Archer	40	Male	Middle Class	Naïve, loyal, impulsive	Spade's Partner	Private Detective	Office, accompanying Miss Wonderley	Loyal but lacks Spade's caution	Takes the initial case, is murdered early on	Husband of Iva Archer	Stocky build, broad face	Business suit (gray), hat	ChatGPT	The Maltese Falcon	2024-12-20
Effie Perine	25	Female	Middle Class	Loyal, intelligent, practical	Secretary	Secretary to Sam Spade	Spade's office	Cheerful, trustworthy, sharp-minded	Supports Spade, hides Brigid briefly	Friendly with Spade, wary of others	Slim, youthful appearance	Simple blouse (white), skirt (navy), scarf	ChatGPT	The Maltese Falcon	2024-12-20
Joel Cairo	35	Male	Middle Class	Effeminate, fussy, sly	Antagonist	Criminal	Spade's office	Treacherous, nervous, self-serving	Attempts to double-cross Gutman, threatens Spade	Associate of Gutman and Brigid, rival for the falcon	Short, neat mustache, olive complexion	Three-piece suit (dark), bright tie	ChatGPT	The Maltese Falcon	2024-12-20
Casper Gutman	55	Male	Upper Class	Portly, suave, unscrupulous	Main Antagonist	Criminal Organizer	Hotel Room	Persuasive, ruthless, greedy	Drugs Spade, reveals falcon’s history, is shot by Wilmer	Employer of Wilmer, collaborator with Cairo	Large frame, jovial demeanor	Expensive suit (brown or black), pocket watch	ChatGPT	The Maltese Falcon	2024-12-20
Wilmer Cook	20	Male	Lower Class	Hotheaded, violent, loyal to Gutman	Gunman	Thug	Hotel with Gutman	Brash, reckless, obedient	Murders Thursby and Captain Jacobi, escapes briefly	Henchman to Gutman	Short, wiry, youthful	Suit (dark gray), overcoat, hat	ChatGPT	The Maltese Falcon	2024-12-20
Iva Archer	35	Female	Middle Class	Jealous, emotionally unstable	Minor Character	Miles Archer’s Wife	Visits Spade after Archer’s death	Clingy, melodramatic, suspicious	Has an affair with Spade, suspects him of Miles' murder	Wife of Miles Archer, unrequited lover of Spade	Attractive, well-groomed	Dress (light-colored), coat	ChatGPT	The Maltese Falcon	2024-12-20
Captain Jacobi	50	Male	Working Class	Determined, loyal	Minor Character	Ship Captain	Arrives at Spade's office	Loyal, strong-willed, honorable	Delivers the falcon to Spade despite mortal wounds	Unknown connections with Brigid	Weathered face, rugged appearance	Ship uniform (navy), cap	ChatGPT	The Maltese Falcon	2024-12-20
Detective Tom Polhaus	40	Male	Middle Class	Honest, straightforward	Supporting Character	Police Detective	Crime Scene	Pragmatic, skeptical, dutiful	Questions Spade about the murders	Colleague of Spade	Tall, broad-shouldered	Trench coat (beige), hat (brown)	ChatGPT	The Maltese Falcon	2024-12-20
Lieutenant Dundy	45	Male	Middle Class	Stern, by-the-book	Supporting Character	Police Lieutenant	Crime Scene	Suspicious, methodical, rigid	Pressures Spade about his involvement	Professional relationship with Spade	Short, stern expression	Police uniform (dark blue), badge	ChatGPT	The Maltese Falcon	2024-12-20
Darrell Rivers	12	Female	Middle-Class	Jolly, sensible, temperamental	Main Protagonist	Student	Beginning of the book	Friendly, courageous, impulsive	Rescued Mary-Lou, befriended Sally	Sister to Felicity, daughter to Mr. and Mrs. Rivers	Long brown hair, bright eyes	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Gwendoline Mary Lacey	12	Female	Upper-Class	Spoiled, lazy, boastful	Antagonist	Student	Beginning of the book	Manipulative, vain, spiteful	Bullied Mary-Lou, framed Darrell	Daughter of Mrs. Lacey; previously taught by Miss Winter	Blonde hair, blue eyes	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Sally Hope	12	Female	Middle-Class	Prim, reserved, withdrawn	Supporting Character	Student	Beginning of the book	Jealous, loyal, kind	Reconciled with Darrell after jealousy over sister	Daughter to Mr. and Mrs. Hope, friend to Darrell	Pale complexion, light brown hair	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Alicia Johns	12	Female	Middle-Class	Quick-witted prankster	Foil Character	Student	Beginning of the book	Sharp-tongued, mischievous, intelligent	Played pranks on teachers, teased others	Friend to Irene and Betty	Medium height, dark hair, mischievous smile	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Mary-Lou Linnet	12	Female	Middle-Class	Shy, quiet, loyal	Supporting Character	Student	Beginning of the book	Timid, devoted, brave	Proved Darrell's innocence, overcame fears	Friend to Darrell and Sally	Small build, big scared eyes	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Katherine	12	Female	Middle-Class	Tall, dark, kind	Supporting Character	Head Girl	Beginning of the book	Calm, sensible, fair	Mediated conflicts, led the First Form	Respected by all	Tall, dark hair, serious demeanor	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Emily Lake	12	Female	Middle-Class	Quiet, studious	Supporting Character	Student	Middle of the book	Clever, focused, kind	Worked on sewing projects	Friend to other First Formers	Small build, neat appearance	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Irene Edwards	12	Female	Middle-Class	Scatterbrained, talented	Supporting Character	Student	Middle of the book	Creative, forgetful, cheerful	Excelled in music and math	Friend to Alicia	Thin, expressive face	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Jean Dunlop	12	Female	Middle-Class	Jolly, shrewd, practical	Supporting Character	Student	Middle of the book	Practical, sociable, reliable	Handled money for school societies	Friend to First Formers	Medium height, smiling face	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Violet Dawson	12	Female	Middle-Class	Shy, colourless	Minor Character	Student	Middle of the book	Timid, withdrawn, quiet	Largely stayed out of activities	Left out of friendships	Pale complexion, small build	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Betty Hill	12	Female	Middle-Class	Mischievous, lively	Minor Character	Student	Middle of the book	Playful, daring, humorous	Participated in pranks	Friend to Alicia	Medium build, energetic demeanor	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Pamela	17	Female	Middle-Class	Responsible, sporty	Minor Character	Head Girl	Middle of the book	Leader, kind, disciplined	Captain of games	Respected by all	Tall, athletic build	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Marilyn	17	Female	Middle-Class	Confident, athletic	Minor Character	Captain of Games	Middle of the book	Cheerful, strong-willed, motivated	Coached sports teams	Friend to Pamela	Athletic build, energetic smile	Malory Towers uniform (brown tunic, cream blouse, orange tie)  	ChatGPT	First Term at Malory Towers	2024-12-21
Miss Grayling	50s	Female	Middle-Class	Dignified, wise	Supporting Character	Headmistress	Beginning of the book	Fair, understanding, inspirational	Gave advice to Darrell	Respected by all the students	Elegant, authoritative presence	Formal headmistress attire (gray dress)  	ChatGPT	First Term at Malory Towers	2024-12-21
Miss Potts	30s	Female	Middle-Class	Firm, fair, practical	Supporting Character	House Mistress	Beginning of the book	Strict, understanding, wise	Managed the First Form, advised Darrell	Respected by Darrell and others	Short, practical appearance	Teacher's attire (gray or brown dress)  	ChatGPT	First Term at Malory Towers	2024-12-21
Mam'zelle Dupont	40s	Female	Middle-Class	Jolly, humorous	Supporting Character	French Mistress	Middle of the book	Cheerful, fun-loving, forgiving	Subject of pranks by Alicia and others	Friends with the girls	Short, round, jolly appearance	Formal French attire (black dress, white cuffs)  	ChatGPT	First Term at Malory Towers	2024-12-21
Mam'zelle Rougier	40s	Female	Middle-Class	Strict, ill-humored	Supporting Character	French Mistress	Middle of the book	Stern, sour, reserved	Scolded the girls harshly	Less popular among students	Tall, thin, sharp features	Formal French attire (black dress, gray shawl)  	ChatGPT	First Term at Malory Towers	2024-12-21
Lucy Pevensie	8-10	Female	Child/Student	Brave, curious, kind-hearted	Discoverer of Narnia, Queen of Narnia	Queen	Exploring the Professor's house	Truthful, compassionate, adventurous	Discovering Narnia, befriending Tumnus, crowned Queen Siblings (Peter, Susan, Edmund), Friends (Tumnus, Aslan)	Small, blonde, cheerful	Dress (white with floral patterns), cardigan (light colors)		ChatGPT	The Lion, the Witch and the Wardrobe	2024-12-21
Edmund Pevensie	10-12	Male	Child/Student	Deceptive, later repentant	Betrayer and redeemer, King of Narnia	King	Following Lucy into the wardrobe	Initially selfish, later loyal	Spying for the Witch, helping defeat her	Siblings (Lucy, Susan, Peter), Alliance (White Witch, Aslan)	Slender, dark-haired, brooding	Sweater (dark colors), trousers (gray)	ChatGPT	The Lion, the Witch and the Wardrobe	2024-12-21
Susan Pevensie	12-14	Female	Child/Student	Practical, gentle, nurturing	Supporter of Aslan, Queen of Narnia	Queen	Exploring Narnia with her siblings	Cautious, caring, thoughtful	Helping revive Aslan, aiding in battles	Siblings (Lucy, Edmund, Peter), Friends (Aslan)	Tall, dark-haired, serene	Dress (blue), cloak (gray)	ChatGPT	The Lion, the Witch and the Wardrobe	2024-12-21
Peter Pevensie	14-16	Male	Child/Student	Responsible, courageous, just	Leader of the Pevensies, High King of Narnia	High King	Disbelieving Lucy at first	Brave, authoritative, protective	Killing Maugrim, leading Narnia's army	Siblings (Lucy, Susan, Edmund), Friends (Aslan)	Broad-shouldered, brown-haired, regal	Tunic (red), cloak (gold)	ChatGPT	The Lion, the Witch and the Wardrobe	2024-12-21
Aslan	Unknown	Male	Divine Being	Majestic, wise, self-sacrificial	Rightful King of Narnia, Savior	King of Narnia	At the Stone Table	Compassionate, powerful, forgiving	Sacrificing himself for Edmund, defeating the Witch	Allies (Pevensies, Narnians)	Massive lion, golden mane		ChatGPT	The Lion, the Witch and the Wardrobe	2024-12-21
White Witch (Jadis)	Unknown (Adult)	Female	Tyrant/Antagonist	Cunning, cruel, manipulative	False ruler of Narnia	Tyrant/Queen	Narnia (Winter Forest)	Ruthless, deceitful	Enslaving Narnia, turning creatures to stone	Enemies (Pevensies, Aslan)	Tall, pale, icy beauty	White fur coat, crown	ChatGPT	The Lion, the Witch and the Wardrobe	2024-12-21
Professor Kirke	60s	Male	Academic/Philosopher	Logical, supportive, kind	Guardian of the Pevensies	Professor	London countryside house	Rational, gentle	Believing Lucy, advising the Pevensies	Mentor (Pevensies)	Old, white-haired, bearded	Tweed suit (brown, gray)	ChatGPT	The Lion, the Witch and the Wardrobe	2024-12-21
Mr. Tumnus	Adult	Male	Faun	Kind-hearted, conflicted	Rescuer of Lucy, ally of Aslan	Faun	Narnia (Lamppost Forest)	Friendly, timid, loyal	Befriending Lucy, protecting her	Allies (Lucy, Aslan)	Goat legs, horns, scarf	Scarf (red), coat (brown)	ChatGPT	The Lion, the Witch and the Wardrobe	2024-12-21
Mr. Beaver	Adult	Male	Commoner/Animal	Loyal, resourceful, brave	Guide to the Pevensies	Craftsman (Dam builder)	Beaver's dam	Practical, friendly	Leading the Pevensies to Aslan	Spouse (Mrs. Beaver), Allies (Pevensies)	Beaver, thick fur	Tunic (brown)	ChatGPT	The Lion, the Witch and the Wardrobe	2024-12-21
Mrs. Beaver	Adult	Female	Commoner/Animal	Motherly, hospitable	Guide to the Pevensies	Homemaker	Beaver's dam	Caring, resourceful, warm-hearted	Helping the Pevensies escape the Witch	Spouse (Mr. Beaver), Allies (Pevensies)	Beaver, soft fur	Apron (white)	ChatGPT	The Lion, the Witch and the Wardrobe	2024-12-21
Maugrim	Unknown	Male	Servant of the Witch	Ferocious, loyal to the Witch	Antagonist, Captain of the Witch's forces	Wolf	Narnia (Winter Forest)	Violent, menacing	Attacking Susan, killed by Peter	Allegiance (White Witch)	Large wolf, sharp fangs		ChatGPT	The Lion, the Witch and the Wardrobe	2024-12-21
Father Christmas	Unknown	Male	Mythical Figure	Jolly, generous, hopeful	Symbol of hope, gift-giver		Forest in Narnia	Jovial, kind-hearted	Bringing gifts to the Pevensies and Beavers	Allies (Aslan, Pevensies)	Bearded, red robes	Coat (red), hat (red)	ChatGPT	The Lion, the Witch and the Wardrobe	2024-12-21
Narrator	35-45	Middle-class	Male	Thoughtful, introspective	Main protagonist	Writer	Beginning of the story	Curious, observant, hesitant	Listens and learns from others, meets George MacDonald	None mentioned	Average build, transparent as a ghost	Gray, shadowy clothing	ChatGPT	The Great Divorce	2024-12-21
