frame	frame0	frame1	frame2	frame3	frame4	frame5	frame6	frame7	sent_cn	abst_lv	lemma_example
Inhibit_motion_scenario	Inhibit_motion_scenario								0	0	
Inhibit_movement	Event	Objective_influence	Transitive_action	Intentionally_affect	Inhibit_movement				84	4	hold
Inspecting	Scrutiny	Scrutinizing_for	Inspecting						268	2	inspection
Installing	Event	Objective_influence	Transitive_action	Placing	Installing				61	4	install
Instance	Instance								90	0	specimen
Institutionalization	Event	Objective_influence	Transitive_action	Cure	Institutionalization				54	4	committed
Institutions	Aggregate	Organization	Institutions						39	2	institutional
Intentional_deception	Deception_end	Intentional_deception							7	1	deceive
Intentional_traversing	Event	Traversing	Intentional_traversing						59	2	ford
Intentionally_act	Event	Intentionally_act							579	1	do
Intentionally_affect	Event	Objective_influence	Transitive_action	Intentionally_affect					11	3	do
Intentionally_create	Event	Objective_influence	Transitive_action	Creating	Intentionally_create				313	4	found
Intercepting	Event	Intentionally_act	Intercepting						65	2	intercept
Interior_profile_relation	Relation	Basis_for_attribute	Locative_relation	Interior_profile_relation					955	3	in between
Interrupt_process	Event	Objective_influence	Transitive_action	Interrupt_process					28	3	uninterrupted
Intoxicants	Entity	Physical_entity	Intoxicants						351	2	drug
Intoxication	Attributes	Gradable_attributes	Intoxication						134	2	stone
Invading	Event	Objective_influence	Transitive_action	Intentionally_affect	Attack	Invading			139	5	overrun
Invasion_scenario	Invasion_scenario								0	0	
Irregular_combatants	Entity	Biological_entity	People	Irregular_combatants					215	3	guerrilla
Isolated_places	Locale	Isolated_places							71	1	middle of nowhere
Judgment	State	Emotions	Judgment						1251	2	applaud
Judgment_communication	Statement	Judgment_communication							2047	1	accuse
Judgment_direct_address	Judgment_communication	Judgment_direct_address							647	1	congratulate
Judgment_of_intensity	Attributes	Gradable_attributes	Judgment_of_intensity						146	2	severe
Judicial_body	Aggregate	Organization	Institutions	Judicial_body					60	3	court
Jury_deliberation	Reciprocality	Chatting	Discussion	Jury_deliberation					23	3	deliberate
Just_found_out	State	Emotions	Emotions_by_stimulus	Just_found_out					57	3	shocked
Justifying	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Justifying		137	6	defend
Key	Entity	Artifact	Key						8	2	keycard
Kidnapping	Event	Misdeed	Committing_crime	Kidnapping					304	3	kidnap
Killing	Event	Objective_influence	Transitive_action	Killing					1110	3	slaughter
Kinship	Relation	Relation_between_individuals	Kinship						1511	2	Ancestral
Knot_creation	Event	Objective_influence	Transitive_action	Creating	Intentionally_create	Knot_creation			28	5	tie
Knot_creation_scenario	Knot_creation_scenario								8	0	braid
Labeling	Referring_by_name	Labeling							107	1	label
Labor_product	Labor_product								58	0	work
Launch_process	Event	Eventive_affecting	Causation	Cause_to_start	Launch_process				121	4	launch
Law	Entity	Artifact	Law						116	2	law
Law_enforcement_agency	Aggregate	Organization	Institutions	Government_institution	Law_enforcement_agency				9	4	fire department
Leadership	Leadership								2144	0	government
Leaving_traces	Sign	Leaving_traces							33	1	trace
Left_to_do	Purpose	Left_to_do							10	1	remain
Legal_rulings	Event	Intentionally_act	Legal_rulings						78	2	rule
Legality	Attributes	Gradable_attributes	Social_behavior_evaluation	Morality_evaluation	Legality				152	4	unlawful
Lending	Event	Eventive_affecting	Lose_possession	Giving	Lending				45	4	lend
Level_of_force_exertion	Attributes	Gradable_attributes	Level_of_force_exertion						539	2	mightiest
Level_of_force_resistance	Attributes	Gradable_attributes	Level_of_force_resistance						456	2	strength
Level_of_light	Attributes	Gradable_attributes	Level_of_light						141	2	dark
Light_movement	Event	Motion	Light_movement						148	2	twinkle
Likelihood	Attributes	Gradable_attributes	Likelihood						826	2	probably
Limitation	Event	Objective_influence	Transitive_action	Intentionally_affect	Limiting	Limitation			4	5	limitation
Limiting	Event	Objective_influence	Transitive_action	Intentionally_affect	Limiting				36	4	limit
Linguistic_meaning	Simple_name	Linguistic_meaning							84	1	denote
Lively_place	Relation	Basis_for_attribute	Locative_relation	Abounding_with	Lively_place				109	4	abuzz
Living_conditions	Living_conditions								66	0	live
Locale	Entity	Physical_entity	Bounded_entity	Locale					439	3	place
Locale_by_characteristic_entity	Locale	Locale_by_characteristic_entity							33	1	enclave
Locale_by_collocation	Locale	Relational_location	Locale_by_collocation						51	2	position
Locale_by_event	Locale	Relational_location	Locale_by_collocation	Locale_by_event					74	3	scene
Locale_by_ownership	Locale	Locale_by_ownership							57	1	land
Locale_by_use	Locale	Locale_by_use							1607	1	restaurant
Locale_closure	Locale_closure								15	0	close
Locating	Event	Intentionally_act	Attempt	Work	Seeking_to_achieve	Seeking	Locating		166	6	find
Location_in_time	Location_in_time								51	0	day
Location_of_light	Attributes	Gradable_attributes	Measurable_attributes	Location_of_light					810	3	glisten
Location_on_path	Relation	Basis_for_attribute	Locative_relation	Location_on_path					6	3	past
Locative_relation	Relation	Basis_for_attribute	Locative_relation						650	2	underground
Locative_scenario	Locative_scenario								0	0	
Lodging_scenario	Relation	Relation_between_individuals	Guest_and_host	Lodging_scenario					0	3	
Lose_possession	Event	Eventive_affecting	Lose_possession						0	2	
Lose_possession_scenario	Lose_possession_scenario								0	0	
Losing	Losing_track_of_theme	Losing							34	1	misplace
Losing_it	Attributes	Gradable_attributes	Social_behavior_evaluation	Mental_property	Losing_it				13	4	freak out
Losing_someone	Event	Losing_someone							8	1	lose
Losing_track_of	Losing_track_of								0	0	
Losing_track_of_perceiver	Losing_track_of_perceiver								2	0	lose
Losing_track_of_theme	Losing_track_of_theme								3	0	lose
Luck	Attributes	Gradable_attributes	Luck						92	2	fortuitous
Make_acquaintance	Reciprocality	Make_acquaintance							60	1	meet
Make_agreement_on_action	Commitment	Make_agreement_on_action							277	1	treaty
Make_cognitive_connection	Cognitive_connection	Make_cognitive_connection							13	1	link
Make_compromise	Make_agreement_on_action	Make_compromise							24	1	compromise
Make_noise	Perception	Make_noise							1188	1	bray
Making_arrangements	Event	Objective_influence	Transitive_action	Intentionally_affect	Making_arrangements				51	4	arrange
Making_faces	Facial_expression	Making_faces							297	1	smile
Manipulate_into_doing	Event	Objective_influence	Transitive_action	Intentionally_affect	Manipulate_into_doing				101	4	lure
Manipulate_into_shape	Event	Objective_influence	Transitive_action	Intentionally_affect	Manipulate_into_shape				5	4	loop
Manipulation	Event	Intentionally_act	Manipulation						546	2	claw
Manner	Event	Manner							41	1	way
Manner_of_life	Custom	Manner_of_life							112	1	life
Manufacturing	Event	Objective_influence	Transitive_action	Creating	Intentionally_create	Manufacturing			737	5	produce
Margin_of_resolution	Attributes	Gradable_attributes	Margin_of_resolution						7	2	narrow
Mass_motion	Event	Motion	Mass_motion						186	2	flood
Mathematical_relationship	Reciprocality	Arithmetic	Mathematical_relationship						12	2	formula
Means	Means								174	0	on
Measurable_attributes	Attributes	Gradable_attributes	Measurable_attributes						203	2	lighter
Measure_area	Measures	Measure_area							85	1	hectare
Measure_by_action	Measures	Measure_by_action							17	1	splash
Measure_duration	Measures	Measure_duration							471	1	millennium
Measure_linear_extent	Measures	Measure_linear_extent							216	1	mile
Measure_mass	Measures	Measure_mass							195	1	metric ton
Measure_scenario	Measure_scenario								0	0	
Measure_volume	Measures	Measure_volume							524	1	carload
Measures	Measures								0	0	
Medical_conditions	Attributes	Gradable_attributes	Medical_conditions						284	2	ailment
Medical_instruments	Entity	Artifact	Medical_instruments						44	2	scalpel
Medical_interaction_scenario	Event	Objective_influence	Transitive_action	Cure	Medical_interaction_scenario				1	4	patient
Medical_intervention	Medical_intervention								6	0	treat
Medical_professionals	Entity	Biological_entity	People	People_by_vocation	Medical_professionals				62	4	paediatrician
Medical_specialties	Medical_interaction_scenario	Medical_specialties							47	1	neurology
Medium	Entity	Artifact	Text	Medium					9	3	in
Meet_specifications	Satisfying	Meet_specifications							42	1	meet
Meet_with	Reciprocality	Chatting	Discussion	Meet_with					8	3	meet with
Meet_with_response	Meet_with_response								17	0	meet
Member_of_military	Entity	Biological_entity	People	People_by_vocation	Member_of_military				140	4	soldier
Membership	Being_included	Be_subset_of	Membership						306	2	member
Memorization	Cogitation	Memorization							40	1	commit to memory
Memory	Event	Eventive_affecting	Memory						217	2	remember
Mental_activity	Mental_activity								1	0	understand
Mental_property	Attributes	Gradable_attributes	Social_behavior_evaluation	Mental_property					1264	3	absurdity
Mental_stimulus_exp_focus	Experiencer_focus	Mental_stimulus_exp_focus							75	1	lost in
Mental_stimulus_stimulus_focus	Mental_stimulus_stimulus_focus								176	0	interesting
Mention	Mention								51	0	mention
Military	Aggregate	Organization	Military						265	2	military
Military_operation	Event	Intentionally_act	Military_operation						126	2	operate
Mining	Event	Intentionally_act	Attempting_and_resolving_scenario	Attempt_obtain_mineral_scenario	Mining				7	4	miner
Misdeed	Event	Misdeed							47	1	sin
Money	Entity	Artifact	Money						78	2	money
Morality_evaluation	Attributes	Gradable_attributes	Social_behavior_evaluation	Morality_evaluation					635	3	right
Motion	Event	Motion							555	1	float
Motion_directional	Event	Motion	Motion_directional						265	2	rise
Motion_noise	Event	Motion	Motion_noise						468	2	bang
Motion_scenario	Motion_scenario								8	0	move
Moving_in_place	Moving_in_place								147	0	vibrate
Name_conferral	Event	Intentionally_act	Name_conferral						112	2	nickname
Namesake	Being_named	Namesake							32	1	namesake
Natural_features	Locale	Natural_features							2643	1	coastal
Needing	Experiencer_focus	Desiring	Needing						115	2	need
Negation	Alternativity	Negation							896	1	no
Negative_conditional	Negative_conditional								139	0	unless
Network	Set_of_interrelated_entities	Network							47	1	network
Noise_makers	Entity	Artifact	Noise_makers						51	2	guitar
Non-commutative_process	Non-commutative_process								1	0	divide
Non-commutative_statement	Non-commutative_statement								1	0	difference
Non-gradable_proximity	Relation	Basis_for_attribute	Locative_relation	Non-gradable_proximity					545	3	Opposite
Noncombatant	Entity	Biological_entity	People	Noncombatant					3	3	noncombatant
Notability	Attributes	Gradable_attributes	Notability						27	2	great
Notification_of_charges	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Notification_of_charges		115	6	charge
Nuclear_process	Event	Transition_to_state	Undergo_change	Nuclear_process					22	3	fissile
Objective_influence	Event	Objective_influence							187	1	influence
Obligation_scenario	Required_event	Obligation_scenario							1	1	obligate
Obscurity	Attributes	Gradable_attributes	Obscurity						46	2	obscure
Obviousness	Attributes	Gradable_attributes	Obviousness						156	2	show
Occupy_rank	Rank	Occupy_rank							67	1	rank
Offenses	Event	Misdeed	Committing_crime	Offenses					246	3	assault
Offering	Event	Eventive_affecting	Lose_possession	Giving	Offering				25	4	offer
Offshoot	Offshoot								3	0	offshoot
Omen	Sign	Omen							186	1	promising
Ontogeny	Progression	Ontogeny							95	1	develop
Openness	Event	Traversing	Openness						41	2	open
Operate_vehicle	Event	Objective_influence	Transitive_action	Intentionally_affect	Using	Operating_a_system	Operate_vehicle		423	6	toboggan
Operate_vehicle_scenario	Motion_scenario	Operate_vehicle_scenario							0	1	
Operating_a_system	Event	Objective_influence	Transitive_action	Intentionally_affect	Using	Operating_a_system			82	5	Run
Operational_testing	Event	Objective_influence	Transitive_action	Intentionally_affect	Using	Operating_a_system	Operational_testing		156	6	test
Opinion	Opinion								256	0	opinion
Opportunity	Alternatives	Opportunity							51	1	opportunity
Optical_image	Optical_image								1	0	silhouette
Ordinal_numbers	Cardinal_numbers	Ordinal_numbers							333	1	first
Organization	Aggregate	Organization							248	1	government
Origin	Origin								665	0	from
Others_situation_as_stimulus	State	Emotions	Emotions_by_stimulus	Others_situation_as_stimulus					39	3	pity
Out_of_existence	Out_of_existence								17	0	history
Pardon	Event	Intentionally_act	Clemency	Pardon					50	3	pardon
Part_edge	Being_included	Part_piece	Part_whole	Part_edge					104	3	edge
Part_inner_outer	Being_included	Part_piece	Part_whole	Part_inner_outer					347	3	exterior
Part_ordered_segments	Being_included	Part_piece	Part_whole	Part_ordered_segments					66	3	chapter
Part_orientational	Being_included	Part_piece	Part_whole	Part_orientational					1094	3	crest
Part_piece	Being_included	Part_piece							437	1	scrap
Part_whole	Being_included	Part_piece	Part_whole						347	2	part
Partiality	Attributes	Gradable_attributes	Social_behavior_evaluation	Social_interaction_evaluation	Partiality				142	4	bias
Participation	Event	Participation							250	1	engage
Partitive	Relation	Partitive							177	1	out of
Passing	Event	Objective_influence	Transitive_action	Cause_motion	Passing				13	4	pass
Passing_off	Event	Intentionally_act	Passing_off						16	2	off
Path_shape	Relation	Basis_for_attribute	Locative_relation	Path_shape					405	3	run
Path_traveled	Event	Motion	Path_traveled						43	2	orbit
Patrolling	Scrutiny	Scrutinizing_for	Inspecting	Patrolling					131	3	patrol
Pattern	Pattern								16	0	formation
People	Entity	Biological_entity	People						1184	2	people
People_along_political_spectrum	Entity	Biological_entity	People	People_along_political_spectrum					22	3	leftist
People_by_age	Entity	Biological_entity	People	People_by_age					584	3	child
People_by_jurisdiction	Entity	Biological_entity	People	People_by_jurisdiction					22	3	national
People_by_military_specialty	Entity	Biological_entity	People	People_by_vocation	Member_of_military	People_by_military_specialty			2	5	sniper
People_by_morality	Entity	Biological_entity	People	People_by_morality					75	3	wrongdoer
People_by_origin	Entity	Biological_entity	People	People_by_origin					169	3	Brit
People_by_religion	Entity	Biological_entity	People	People_by_religion					165	3	pagan
People_by_residence	Entity	Biological_entity	People	People_by_residence					24	3	neighbor
People_by_vocation	Entity	Biological_entity	People	People_by_vocation					730	3	researcher
Perception	Event	Transition_to_state	Becoming	Transition_to_a_quality	Becoming_visible	Perception			2	5	perceive
Perception_active	Perception	Perception_active							1033	1	glance
Perception_body	Perception	Perception_experience	Perception_body						183	2	ache
Perception_experience	Perception	Perception_experience							680	1	perception
Performers	Entity	Biological_entity	People	People_by_vocation	Performers				21	4	player
Performers_and_roles	Performing_arts	Performers_and_roles							171	1	part
Performing_arts	Performing_arts								12	0	music
Personal_relationship	Relation	Relation_between_individuals	Personal_relationship						930	2	friend
Personal_success	Attributes	Gradable_attributes	Personal_success						102	2	success
Physical_artworks	Entity	Artifact	Physical_artworks						154	2	photo
Physical_entity	Entity	Physical_entity							5	1	sword
Piracy	Event	Misdeed	Committing_crime	Piracy					131	3	hijack
Placing	Event	Objective_influence	Transitive_action	Placing					1379	3	bestow
Placing_scenario	Placing_scenario								6	0	brush
Planned_trajectory	Planned_trajectory								17	0	way
Planting	Planting								48	0	plant
Point_of_dispute	Reciprocality	Chatting	Discussion	Point_of_dispute					57	3	question
Political_actions	Political_actions								28	0	strike
Political_locales	Locale	Locale_by_ownership	Political_locales						1290	2	state
Popularity	Attributes	Gradable_attributes	Desirability	Popularity					19	3	popular
Posing_as	Event	Intentionally_act	Passing_off	Posing_as					41	3	pose
Position_on_a_scale	Attributes	Gradable_attributes	Position_on_a_scale						184	2	medium
Possession	Possession								842	0	property
Possibility	Possibility								130	0	could
Post_getting	Possession	Post_getting							0	1	
Post_lose_possession	Possession	Post_lose_possession							0	1	
Post_transfer	Possession	Post_transfer							0	1	
Posture	State	Posture							510	1	bend
Practice	Event	Intentionally_act	Practice						213	2	drill
Praiseworthiness	Attributes	Gradable_attributes	Social_behavior_evaluation	Praiseworthiness					169	3	praiseworthy
Prank	Trap	Prank							1	1	prank
Pre_getting	Possession	Pre_getting							0	1	
Pre_giving	Possession	Pre_lose_possession	Pre_giving						0	2	
Pre_lose_possession	Possession	Pre_lose_possession							1	1	have
Pre_receiving	Possession	Pre_getting	Pre_receiving						0	2	
Pre_transfer	Possession	Pre_transfer							0	1	
Precariousness	Attributes	Gradable_attributes	Being_at_risk	Precariousness					3	3	balanced
Precipitation	Process	Precipitation							151	1	rain event
Predicament	State	State_of_entity	Predicament						108	2	plight
Predicting	Statement	Predicting							165	1	claim
Preference	Experiencer_focus	Desiring	Preference						5	2	favor
Preferred_alternative_scenario	Alternativity	Conditional_scenario	Preferred_alternative_scenario						0	2	
Preliminaries	Means	Preliminaries							97	1	preliminary
Presence	State	Being_located	Presence						116	2	absence
Presentation_of_mitigation	Alternativity	Negation	Presentation_of_mitigation						130	2	anyway
Preserving	Event	Objective_influence	Transitive_action	Intentionally_affect	Processing_materials	Preserving			93	5	embalming
Prevarication	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Prevarication		132	6	bullshit artist
Prevent_or_allow_possession	Preventing_or_letting	Prevent_or_allow_possession							46	1	deprive
Preventing_or_letting	Event	Preventing_or_letting							263	1	stop
Price_per_unit	Relational_quantity	Price_per_unit							18	1	rate
Prison	Locale	Locale_by_use	Prison						118	2	prison
Probability	Attributes	Gradable_attributes	Position_on_a_scale	Probability					38	3	chance
Process	Process								27	0	process
Process_completed_state	State	Process_completed_state							23	1	over
Process_continue	Process_continue								176	0	continue
Process_end	Event	Process_end							154	1	come to a end
Process_initial_state	State	Process_initial_state							0	1	
Process_pause	Event	Process_pause							2	1	stop
Process_resume	Event	Process_resume							18	1	resume
Process_start	Event	Process_start							214	1	start
Process_stop	Event	Process_stop							51	1	stop
Process_stopped_state	State	Process_stopped_state							0	1	
Process_uncompleted_state	State	Process_uncompleted_state							0	1	
Processing_materials	Event	Objective_influence	Transitive_action	Intentionally_affect	Processing_materials				263	4	reprocess
Product_delivery	Delivery	Product_delivery							2	1	delivery
Product_development	Product_development								53	0	develop
Product_development_scenario	Product_development_scenario								0	0	
Product_line	Aggregate	Product_line							22	1	Collection
Progression	Event	Transition_to_state	Undergo_change	Progression					183	3	progress
Prohibiting_or_licensing	Entity	Artifact	Law	Prohibiting_or_licensing					99	3	bar
Project	Purpose	Project							607	1	program
Proliferating_in_number	Event	Change_position_on_a_scale	Proliferating_in_number						118	2	nonproliferation
Prominence	Attributes	Gradable_attributes	Prominence						140	2	prominent
Proper_reference	Proper_reference								8	0	proper
Proportion	Relational_quantity	Proportion							31	1	rate
Proportional_quantity	Proportional_quantity								278	0	much
Protecting	Attributes	Gradable_attributes	Likelihood	Run_risk	Protecting				165	4	safeguard
Protest	Taking_sides	Protest							177	1	demonstration
Provide_lodging	Provide_lodging								2	0	host
Proximity_image_schema	Image_schema	Proximity_image_schema							0	1	
Public_services	Aggregate	Organization	Institutions	Public_services					33	3	service
Publishing	Event	Objective_influence	Transitive_action	Intentionally_affect	Publishing				1	4	publish
Punctual_perception	Perception	Perception_experience	Punctual_perception						23	2	glimpse
Purpose	Experiencer_focus	Desiring	Purpose						555	2	aim
Putting_out_fire	Putting_out_fire								8	0	extinguish
Quantified_mass	Quantified_mass								1713	0	any
Quantity	Dimension	Quantity							96	1	amount
Quarreling	Reciprocality	Chatting	Discussion	Quarreling					394	3	argument
Questioning	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Questioning		479	6	question
Quitting	Employment_end	Quitting							151	1	quit
Quitting_a_place	Event	Eventive_affecting	Departing	Quitting_a_place					409	3	defect
Race_descriptor	Attributes	Race_descriptor							6	1	color
Range	Possibility	Capability	Range						138	2	range
Rank	Rank								47	0	rank
Ranked_expectation	Ranked_expectation								96	0	entire
Rape	Event	Misdeed	Committing_crime	Rape					135	3	rape
Rashness	Attributes	Gradable_attributes	Social_behavior_evaluation	Rashness					6	3	impatient
Rate_description	Attributes	Gradable_attributes	Measurable_attributes	Rate_description					63	3	rapid
Rate_quantification	Relational_quantity	Rate_quantification							35	1	rate
Ratification	Ratification								72	0	ratification
Reading_activity	Reading_activity								110	0	read
Reading_aloud	Reading_activity	Reading_aloud							15	1	read out
Reading_perception	Reading_activity	Reading_perception							54	1	reader
Reason	Event	Intentionally_act	Reason						100	2	reason
Reasoning	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Reasoning		253	6	prove
Reassuring	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Reassuring		49	6	reassurance
Rebellion	Rebellion								60	0	insurgent
Receive_visitor_scenario	Receive_visitor_scenario								0	0	
Receiving	Event	Getting	Receiving						156	2	accept
Receiving_scenario	Getting_scenario	Receiving_scenario							2	1	accept
Reciprocality	Reciprocality								3	0	argue
Recording	Statement	Recording							67	1	chronicle
Records	Entity	Artifact	Text	Records					79	3	record
Recovery	Attributes	Gradable_attributes	Medical_conditions	Recovery					94	3	recover
Redirecting	Event	Motion	Redirecting						32	2	redirect
Reference_text	Entity	Artifact	Text	Reference_text					46	3	see
Referring_by_name	Being_named	Referring_by_name							131	1	call
Reforming_a_system	Event	Objective_influence	Transitive_action	Cause_change	Reforming_a_system				109	4	restructure
Regard	Judgment	Regard							27	1	impression
Rejuvenation	Event	Objective_influence	Transitive_action	Rejuvenation					91	3	renew
Relating_concepts	Cognitive_connection	Relating_concepts							28	1	link
Relation	Relation								22	0	relation
Relation_between_individuals	Relation	Relation_between_individuals							0	1	
Relational_location	Locale	Relational_location							0	1	
Relational_natural_features	Locale	Natural_features	Relational_natural_features						62	2	coast
Relational_political_locales	Locale	Locale_by_ownership	Political_locales	Relational_political_locales					46	3	capital
Relational_quantity	Relational_quantity								34	0	rate
Relative_time	Relation	Relative_time							591	1	past
Releasing	Event	Objective_influence	Transitive_action	Intentionally_affect	Releasing				22	4	release
Releasing_from_custody	Event	Objective_influence	Transitive_action	Intentionally_affect	Releasing	Releasing_from_custody			4	5	release
Reliance	Contingency	Reliance							147	1	rely
Reliance_on_expectation	Attributes	Gradable_attributes	Certainty	Reliance_on_expectation					6	3	on
Religious_belief	Mental_activity	Awareness	Religious_belief						32	2	believe
Remainder	Event	Change_position_on_a_scale	Remainder						145	2	remnant
Remembering_experience	Cogitation	Remembering_experience							97	1	remember
Remembering_information	Mental_activity	Awareness	Remembering_information						104	2	remember
Remembering_to_do	Event	Intentionally_act	Remembering_to_do						54	2	forget
Removing	Event	Objective_influence	Transitive_action	Removing					1128	3	flush
Removing_scenario	Removing_scenario								10	0	clear
Render_nonfunctional	Event	Objective_influence	Transitive_action	Render_nonfunctional					52	3	incapacitate
Renting	Event	Getting	Commerce_buy	Renting					85	3	rent
Renting_out	Event	Eventive_affecting	Lose_possession	Giving	Commerce_sell	Renting_out			48	5	lease
Renunciation	Statement	Renunciation							38	1	renounce
Reparation	Event	Objective_influence	Transitive_action	Intentionally_affect	Reparation				32	4	make up
Repayment	Repayment								13	0	back
Repel	Attributes	Gradable_attributes	Level_of_force_resistance	Repel					16	3	repel
Replacing	Event	Objective_influence	Transitive_action	Intentionally_affect	Replacing				164	4	replace
Reporting	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Reporting		23	6	report
Representative	Entity	Biological_entity	People	People_by_vocation	Representative				8	4	spokesman
Representing	Mental_activity	Awareness	Representing						24	2	be symbol
Request	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Request		965	6	ask
Request_entity	Request	Request_entity							31	1	order
Required_event	Being_necessary	Required_event							373	1	need
Requirement_scenario	Requirement_scenario								1	0	necessary
Rescuing	Event	Objective_influence	Transitive_action	Intentionally_affect	Rescuing				62	4	rescue
Research	Scrutiny	Research							294	1	research
Reserving	Scheduling	Reserving							40	1	book
Reshaping	Event	Objective_influence	Transitive_action	Damaging	Reshaping				178	4	squashed
Residence	Residence								672	0	live
Resolve_problem	Event	Intentionally_act	Resolve_problem						273	2	deal
Respond_to_proposal	Event	Eventive_affecting	Response	Communication_response	Respond_to_proposal				71	4	rebuff
Response	Event	Eventive_affecting	Response						154	2	respond
Response_scenario	Response_scenario								0	0	
Responsibility	Event	Intentionally_act	Responsibility						114	2	responsibility
Rest	Being_included	Part_piece	Part_whole	Rest					32	3	rest
Result_of_attempt_scenario	Result_of_attempt_scenario								0	0	
Resurrection	State	Dead_or_alive	Resurrection						29	2	back
Retaining	Possession	Retaining							41	1	retain
Reveal_secret	Statement	Reveal_secret							711	1	spill beans
Revenge	Event	Eventive_affecting	Response	Rewards_and_punishments	Revenge				299	4	payback
Revolution	Rebellion	Revolution							8	1	mutiny
Rewards_and_punishments	Event	Eventive_affecting	Response	Rewards_and_punishments					206	3	punish
Ride_vehicle	Ride_vehicle								164	0	take
Rising_to_a_challenge	Satisfying	Meet_specifications	Rising_to_a_challenge						22	2	rise
Risk_scenario	Risk_scenario								0	0	
Risky_situation	Attributes	Gradable_attributes	Risky_situation						158	2	threat
Rite	Event	Intentionally_act	Rite						417	2	christen
Roadways	Locale	Locale_by_use	Roadways						1239	2	sidewalk
Robbery	Event	Misdeed	Committing_crime	Robbery					155	3	ransack
Rope_manipulation	Event	Objective_influence	Transitive_action	Intentionally_affect	Manipulate_into_shape	Rope_manipulation			70	5	tie
Rotting	Event	Rotting							91	1	perish
Run_risk	Attributes	Gradable_attributes	Likelihood	Run_risk					103	3	risk
Sacrificing_for	Possession	Sacrificing_for							8	1	sacrifice
Satisfying	Satisfying								3	0	satisfy
Scarcity	Attributes	Gradable_attributes	Abundance	Scarcity					55	3	plentiful
Scheduling	Event	Objective_influence	Transitive_action	Intentionally_affect	Making_arrangements	Scheduling			45	5	schedule
Scope	Attributes	Scope							7	1	scope
Scouring	Scrutiny	Scrutinizing_for	Scouring						99	2	scour
Scrutinizing_for	Scrutiny	Scrutinizing_for							5	1	examine
Scrutiny	Perception	Perception_active	Scrutiny						903	2	monitor
Searching_scenario	State	Attention	Searching_scenario						5	2	examine
Secrecy_status	Mental_activity	Awareness	Secrecy_status						291	2	secret
Seeking	Event	Intentionally_act	Attempt	Work	Seeking_to_achieve	Seeking			126	5	manhunt
Seeking_to_achieve	Event	Intentionally_act	Attempt	Work	Seeking_to_achieve				115	4	seek
Self_control	Preventing_or_letting	Self_control							11	1	can't help
Self_motion	Event	Motion	Self_motion						6568	2	caper
Sending	Bringing	Sending							255	1	post
Sensation	Perception	Sensation							561	1	flavor
Sent_items	Sending	Sent_items							18	1	shipment
Sentencing	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Sentencing		102	6	sentencing
Separating	Event	Objective_influence	Transitive_action	Intentionally_affect	Separating				172	4	separate
Sequence	Relation	Sequence							174	1	series
Serving_in_capacity	Serving_in_capacity								11	0	serve
Set_of_interrelated_entities	Set_of_interrelated_entities								5	0	system
Set_relation	Inclusion_scenario	Set_relation							0	1	
Setting_fire	Event	Objective_influence	Transitive_action	Setting_fire					123	3	light
Setting_out	Event	Eventive_affecting	Departing	Quitting_a_place	Setting_out				83	4	set out
Severity_of_offense	Offenses	Severity_of_offense							14	1	indictable
Sex	Sex								0	0	
Sexual_reproduction_scenario	Sexual_reproduction_scenario								0	0	
Shaped_part	Being_included	Part_piece	Part_whole	Shaped_part					4	3	brim
Shapes	Entity	Physical_entity	Bounded_entity	Shapes					552	3	line
Sharing	Reciprocality	Sharing							6	1	share
Sharpness	Attributes	Gradable_attributes	Sharpness						36	2	blunt
Shoot_projectiles	Event	Objective_influence	Transitive_action	Cause_motion	Shoot_projectiles				181	4	fire off
Shooting_scenario	Event	Intentionally_act	Attempting_and_resolving_scenario	Attempt_distant_interaction_scenario	Shooting_scenario				5	4	throw
Shopping	Event	Intentionally_act	Attempt	Work	Seeking_to_achieve	Seeking	Shopping		55	6	Shopping
Short_selling	Event	Objective_influence	Transitive_action	Intentionally_affect	Short_selling				3	4	sell short
Sidereal_appearance	Event	Motion	Motion_directional	Sidereal_appearance					35	3	rise
Sign	Evidence	Sign							144	1	sign
Sign_agreement	Event	Objective_influence	Transitive_action	Creating	Intentionally_create	Text_creation	Sign_agreement		194	6	sign
Silencing	Event	Objective_influence	Transitive_action	Intentionally_affect	Silencing				55	4	silence
Similarity	Attributes	Gradable_attributes	Similarity						639	2	differ
Simple_name	Simple_name								24	0	term
Simple_naming	Simple_name	Simple_naming							12	1	call
Simultaneity	Relation	Simultaneity							35	1	coincide
Size	Attributes	Gradable_attributes	Measurable_attributes	Size					613	3	small
Sleep	Process_continue	Sleep							157	1	nap
Sleep_wake_cycle	Sleep_wake_cycle								0	0	
